"names","values"
"itemid","7"
"event","i miss tucker so much
long distance relationships are so crazy incredibly hard
its worth it of course

we're going to dress up in fancy clothes and go to a fancy restaurant
and then picnic
and then watch finding nemo

no more classes :8("
"eventtime","2003-12-09 16:35:00"
"url","http://bigwigpig.livejournal.com/1929.html"
"userid","1684"
"itemid","6"
"event","smackin isaiah changed their name to a wilhelm scream
bigwig isnt gonna be at skate and surf.......
im excited to see a static lullaby...april 27th
i really cant wait to go to college.....i <b>need></b> to have a change of setting and meet new people....

um...yah......ive been apathetic lately what else is new....school is the same everyday....the weather is screwing up the tennis schedule....camp is really soon..its gonna be so strange without anna there...i hope itll be arite....ive hardly spoken to anyone from camp in in 41412 days and i feel like my homies there dont like me anymore...its weird we all used to be really close and yaddayadda yadda all i do is complain...later
o yeah...mege told me she fancies me...i met her at allys sleepover"
"eventtime","2003-04-11 20:21:00"
"url","http://bigwigpig.livejournal.com/1597.html"
"userid","1684"
"itemid","5"
"event","yesterday i got my skate and surf tickets....im soooo excited and antsy.....bigwigs gonna be there:8) and brand new and static lullaby and alkaline trio so yayyy

smackin isaiah changed their name to A Wilhelm Scream

tomorrow is our first tennis match of the season.....we're playing townsend harris...im extremely nervous"
"eventtime","2003-03-26 23:28:00"
"url","http://bigwigpig.livejournal.com/1408.html"
"userid","1684"
"itemid","4"
"event","tomorrow is the senior trip...we're going to a dude ranch.......
its gonna be all prettie with the snow and winteryness

im seen kris roe on thursday at the signin:8)


this isnt as pointless as you think
*****************************************

its been three months man....."
"eventtime","2003-03-06 23:18:00"
"url","http://bigwigpig.livejournal.com/1272.html"
"userid","1684"
"itemid","3"
"event","i saw bigwig tonight at the continental....my are they lovely....my am i sleepie....im really not lookin foward to go back to school :8("
"eventtime","2003-02-23 23:37:00"
"url","http://bigwigpig.livejournal.com/982.html"
"userid","1684"
"itemid","2"
"event","guess who i am...ill give you a cookie 
""howdy i like to tell people to come to my band practices and shows and tell them i fancy them and then proceed not to talk to them for 236235 days"""
"eventtime","2003-02-10 20:10:00"
"url","http://bigwigpig.livejournal.com/760.html"
"userid","1684"
"itemid","1"
"event","shalom 
i needed an escape from xangaworld because i was attacked by my school compatriots

school tomorrow...and i cant keep myself from counting down four months till FREEDOM! well...out of hellhighschoolshoebox anyway

tuesday is the juliana theory/vendetta red show with mickie

saturday is the oreilly show...if john goes on too late as in after ten pm i cant go

a week from saturday is the lovely bigwig :8) this will be the 5th time seeing them

stupid school
aren't i eloquent?"
"eventtime","2003-02-09 23:43:00"
"url","http://bigwigpig.livejournal.com/292.html"
"userid","1684"
