"names","values"
"itemid","27"
"event","Ooh~i am so tied w/th my school wok...
i almost hae no time to update my jounal...
that`s too bad..><"
"eventtime","2001-09-15 18:28:00"
"current_moodid","31"
"url","http://liyu0207.livejournal.com/7015.html"
"userid","9063"
"itemid","26"
"event","my dear sis...I am not satisfy with u..hope u can turn over new leaf...
1 I don`t like the way you talk//u always like to use the unpoliteness words when talking to others.
2 you always say the dirty words.
3 you always wiretap others phone.
4 you always borrow money from others but never   give back.
5 you always wear too ""spice""that look a little frivolous and flighty and strick up the conversation w/th the good looking guys.
6 you r only 13 , you don`t have to the make up
7 you doesn`t like to study , but always spending time on the phone or hang out woth friends.
8 you have no wild ambition careerism to go to a good high school or university
9 you got 6 boyfriend""s"" for once
10 you always against with ur teacher or fight with paernts
the above r such serious problems that papa mama and I am worried about , but when we are trying  to persuade u , you always ignoring us..
I can`t take anymore..you know,I had a bad temper , I really want to help u being a good girl
but that`s really haed..I dunno what`s haooend ti u , Before you went to the #8 grade , you were good in all ways , not only the goodlooking..hopely you can become mature , that you can self goverment yourself.."
"eventtime","2001-08-29 15:39:00"
"current_moodid","85"
"url","http://liyu0207.livejournal.com/6775.html"
"userid","9063"
"itemid","25"
"event","Goodbye....the beautiful summer...><"
"eventtime","2001-08-29 15:36:00"
"current_moodid","25"
"url","http://liyu0207.livejournal.com/6641.html"
"userid","9063"
"itemid","23"
"event","The new semenster is going to start~
so ~ I have to clean my room , buy some books for study..and preparing for the test...that`s too bad =<..the vacation is too short..."
"eventtime","2001-08-26 18:44:00"
"current_moodid","92"
"url","http://liyu0207.livejournal.com/5909.html"
"userid","9063"
"itemid","24"
"event","The new semenster is going to start~
so ~ I have to clean my room , buy some books for study..and preparing for the test...that`s too bad =<..the vacation is too short..."
"eventtime","2001-08-26 18:44:00"
"current_moodid","92"
"url","http://liyu0207.livejournal.com/6256.html"
"userid","9063"
"itemid","22"
"event","Today is Chinese valentime`s day~
so we have a party for it , and I feel so sweet that one of my boys friend give me two cds for present...and a box of chocolate..and I also got many present by my close friend
actually~I just brake up with my boyfriend one month before...so i though I may pass this day with ""lonely""..but I have to be glad is my friends are always surrounding me..
they make me feel so sweet.."
"eventtime","2001-08-26 00:50:00"
"current_moodid","121"
"url","http://liyu0207.livejournal.com/5715.html"
"userid","9063"
"itemid","21"
"event","This afternoon , I went shopping with my friend Marina and her younger sister in ""TOY`s R US"",then we went to the Barnies` departmenr . Marina was so possessed in it , But all of them are collect style , and they are very very expensive , but she didn`t have enough money ,  so she didn`t buy it . at least , she left the shop withb regret....
************************************************
I got a enlighten from her~~
Since I born till now ,happiness is always surranding me , I can own everything that I want .
For instance , I have so many Barbies , all kinds of , the layest computer and PDA , new games all the books that I want to read , a sweet home , and people who cares about me ,  who love me....etc..the point is I can have it before I ask , but , I never cherish it , in other words , I don`t know this kind of favor is the things that
I have to be grateful . I felt I always let down my parents , even let down God...><
But why they always being so good to me>??I am not the kind of person who is being so good to be loved..I always ask for better live quality or dislike all the things surrounding me , and I always ""blame everyone but oneself"".I though~that`s a regular life style for everyone , nothing have to be thankful...but after seeing the little story happened on my friend , I realized that=>what I extremely easy to obtain is what many people try hard to obtain..I don`t know what`s my desire happiness , but now I understand I really have to be greatful for all the favor that God gave to me and Dad Mom...I love you..=>
Happiness is surrounding me , I have to cherish it , cuz I am not allow to let down the ones who love me morn than I love myself .
Ones desire is know no end . Love will last forever , but substance won`t..I have everything , and more than I expect..hee...
world is so beautiful.."
"eventtime","2001-08-25 01:45:00"
"current_moodid","132"
"url","http://liyu0207.livejournal.com/5406.html"
"userid","9063"
"itemid","20"
"event","Today~my face stop peeling...but~` I still feel hurt.But I look much clear then these past few days...Ooh..Than`x God..hee...~!!"
"eventtime","2001-08-23 00:54:00"
"current_moodid","64"
"url","http://liyu0207.livejournal.com/5120.html"
"userid","9063"
"itemid","19"
"event","Oops~ I forget something...
Happy birthday to Lee-kai and Patrizia..:))"
"eventtime","2001-08-21 21:03:00"
"url","http://liyu0207.livejournal.com/5081.html"
"userid","9063"
"itemid","18"
"event","oh~Eminem`s songs r really cool.i just got his CD
I love it..though the songs are full of dirty words.that`s funny and interesting..:)
if we treat him like a artist , he is a great guy."
"eventtime","2001-08-21 20:48:00"
"current_moodid","108"
"url","http://liyu0207.livejournal.com/4621.html"
"userid","9063"
"itemid","17"
"event","now ~ I am going to share a terrible with those you guys~!!heh...
*************************************************
Last Wednesday~,I went fishing with my family , it`s almost evening , so I didn`t smear any lotion on my body . After boarding on the fishing boat , I start to fishing . then~my sis and mom being so garrulous~so I went to the deck~I decide to ignoring them~but~my mom was trying to get some chance to ""chat"" with me . Finally , the dinner is ready~then~ they go to the meal~thanks God..the ""chatroom"" is over . In order to have a quiet place for relax , i kept doing my fishing work ....on the deck..I got 38 fish ..
after these, I feel so tired , I slept on the deck , when I woke up it`s already 4:00 in the morning , and my skin was scald by the fishing light , that`s really hurt ; especially my face..till now , it`s start to peeling..I look really terrible with this sunburned skin  > < 
now, I am afraid of going outside , my father(doctor)said I would recover in one week~hope he is not comforting me :(
many of my friends come to visit me..but telling the truth , I really don`t want to meet any others with the peeling face..ohh..what a terrible trip.the injury is still exist till now.
In these few days , I didn`t go anywhere.what I am pleased~is the new semester haven`t start..
I look like a chocolate....heh
> < i hate the peeling face..hope I can restore to health soon...bless me."
"eventtime","2001-08-20 10:29:00"
"current_moodid","23"
"url","http://liyu0207.livejournal.com/4553.html"
"userid","9063"
"itemid","16"
"event","sometimes~I am so angry with myself , why I always being so lazy tp keep wprking on one thing~? I mean my journal...I enjoy reading others , but lazy on doing mine..
Today is a new begining for me ...hee
I decide to keep working on my livejournal
     luck for me~!"
"eventtime","2001-08-20 10:24:00"
"current_moodid","11"
"url","http://liyu0207.livejournal.com/4314.html"
"userid","9063"
"itemid","15"
"event","actually I have aiready made my study plans as my mom`s order~<as her wish> , but I won`t act accordingly...I am not live for others!!!
I am an independent individual..>_<
I really want to know ~ how to melting the generation gap between us.!  @_@"
"eventtime","2001-07-11 00:29:00"
"current_moodid","43"
"url","http://liyu0207.livejournal.com/3981.html"
"userid","9063"
"itemid","13"
"event","Today~I am sop angry with my mom . Why she always ask me to give her my study plans for summer vacation???that`s my work , none of her business .
why do I have to tell her all the things that I do , even how many hours I sleep , though I tell her how many hours I use to study and how many hours I use to play or hang out with my friends .
she always think I sleep too much and study too less . why she has so many advice about my life , my working style ?? 
Study hard is my own business , that`s not her job . all the friends are mine , she doesn`t have to help me to pick them~she might always hurting someone . all that I want is to arrange my day by myself . I don`t want anyone to order me..!!
just let me have two month`s break..><"
"eventtime","2001-07-11 00:26:00"
"current_moodid","3"
"url","http://liyu0207.livejournal.com/3340.html"
"userid","9063"
"itemid","14"
"event","Today~I am sop angry with my mom . Why she always ask me to give her my study plans for summer vacation???that`s my work , none of her business .
why do I have to tell her all the things that I do , even how many hours I sleep , though I tell her how many hours I use to study and how many hours I use to play or hang out with my friends .
she always think I sleep too much and study too less . why she has so many advice about my life , my working style ?? 
Study hard is my own business , that`s not her job . all the friends are mine , she doesn`t have to help me to pick them~she might always hurting someone . all that I want is to arrange my day by myself . I don`t want anyone to order me..!!
just let me have two month`s break..><"
"eventtime","2001-07-11 00:26:00"
"current_moodid","3"
"url","http://liyu0207.livejournal.com/3702.html"
"userid","9063"
"itemid","12"
"event","Today~I am sop angry with my mom . Why she always ask me to give her my study plans for summer vacation???that`s my work , none of her business .
why do I have to tell her all the things that I do , even how many hours I sleep , though I tell her how many hours I use to study and how many hours I use to play or hang out with my friends .
she always think I sleep too much and study too less . why she has so many advice about my life , my working style ?? 
Study hard is my own business , that`s not her job . all the friends are mine , she doesn`t have to help me to pick them~she might always hurting someone . all that I want is to arrange my day by myself . I don`t want anyone to order me..!!
just let me have two month`s break..><"
"eventtime","2001-07-11 00:24:00"
"current_moodid","3"
"url","http://liyu0207.livejournal.com/3150.html"
"userid","9063"
"itemid","11"
